1 , 1.235088689202000e+02 , 1.898767310969647e-01
2 , 6.156852027720000e+01 , 1.828455150357118e-01
3 , 4.188380387480000e+01 , 8.084956774887583e-02
4 , 3.129373913300000e+01 , 7.644796396576047e-02
5 , 2.522671733560000e+01 , 7.360180692677820e-02
6 , 2.154843929720000e+01 , 2.737903011385686e-02
7 , 1.900020001660000e+01 , 2.158815279261722e-01
8 , 1.702861086480000e+01 , 2.626368551262317e-01
9 , 2.726582453960000e+01 , 4.269752515321159e-01
10 , 2.496358046760000e+01 , 3.103777697277323e-01
11 , 2.377137375060000e+01 , 5.021374260334490e-01
12 , 2.154508906360000e+01 , 1.417877069158775e-01
13 , 2.148841851800000e+01 , 3.365561170533260e-01
14 , 1.966050733440000e+01 , 2.876704398452247e-01
15 , 1.928597733560000e+01 , 3.020225641918811e-01
16 , 1.905684486040000e+01 , 8.245492230211346e-02
