1 1.031
2 0.556
3 0.389
4 0.296
5 0.24
6 0.198
7 0.165
8 0.158
9 0.152
10 0.133
11 0.129
12 0.126
13 0.121
14 0.117
15 0.113
16 0.112
17 0.112
