1000 3.148000000000000e+00 2.039521706573115e-01
3569 3.176239843093303e+00 1.102854294745059e+00
12743 3.146197912579455e+00 1.465899464846303e-01
45494 3.148283290104190e+00 2.129695747394698e-01
162409 3.140737274412132e+00 -2.722756486852177e-02
579781 3.140751421657488e+00 -2.677724406262483e-02
2069745 3.142126203952661e+00 1.698343552777119e-02
7388731 3.141522407569040e+00 -2.236000287078902e-03
26376837 3.141745918966706e+00 4.878588468093835e-03
94161976 3.141718478805075e+00 4.005140995547656e-03
336146354 3.141604635699842e+00 3.814024085812423e-04
1200000000 3.141628013333333e+00 1.125535594180012e-03
